N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
176,신세계인터내셔날,"168,000","1,000",+0.60%,"5,000","11,995","7,140",5.56,"111,918",26.60,12.98,
177,롯데관광개발,"17,200",100,-0.58%,500,"11,915","69,276",4.75,"330,524",-25.26,-4.77,
178,금호타이어,"4,050",100,+2.53%,"5,000","11,634","287,260",4.22,"892,113",-11.60,-3.30,
179,TIGER 단기통안채,"100,785",0,0.00%,0,"11,592","11,502",6.33,893,N/A,N/A,
180,JB금융지주,"5,860",160,+2.81%,"5,000","11,543","196,983",39.14,"885,619",3.34,10.36,
181,진원생명과학,"25,250",100,-0.39%,"1,000","11,303","44,763",11.43,"937,966",-73.19,-28.50,
182,아시아나항공,"5,020",10,-0.20%,"5,000","11,206","223,235",5.01,"4,770,053",-0.43,-90.67,
183,GKL,"18,100",650,+3.72%,500,"11,196","61,856",6.05,"592,466",-84.19,12.62,
184,제일약품,"75,100",100,+0.13%,500,"11,043","14,705",3.28,"441,182",-148.71,-5.96,
185,코오롱인더,"40,700",450,+1.12%,"5,000","10,980","26,979",15.30,"266,213",7.29,1.58,
186,더블유게임즈,"58,100",200,-0.34%,500,"10,676","18,375",16.00,"101,562",9.96,18.93,
187,한국콜마,"46,600",400,+0.87%,500,"10,663","22,881",25.70,"182,471",33.53,6.39,
188,KBSTAR 200,"37,255",295,+0.80%,0,"10,282","27,600",0.16,"246,207",N/A,N/A,
189,롯데칠성,"113,500","1,500",+1.34%,500,"10,187","8,975",11.29,"51,173",-11.64,-11.68,
190,KODEX 인버스,"4,530",45,-0.98%,0,"10,170","224,500",1.29,"38,934,919",N/A,N/A,
191,다우기술,"22,650",250,+1.12%,500,"10,162","44,867",22.70,"219,014",3.64,14.62,
192,현대홈쇼핑,"83,000","4,600",+5.87%,"5,000","9,960","12,000",26.77,"67,428",11.08,5.03,
193,코스맥스,"98,900","1,200",+1.23%,500,"9,939","10,050",24.48,"91,405",24.48,10.45,
194,SK가스,"107,500","1,000",+0.94%,"5,000","9,923","9,230",8.73,"31,802",2.52,9.85,
195,휴켐스,"24,150",350,+1.47%,"1,000","9,872","40,879",8.74,"959,486",20.48,10.82,
196,영풍,"533,000","13,000",+2.50%,"5,000","9,818","1,842",4.69,"2,918",5.30,7.40,
197,코리안리,"8,100",240,+3.05%,500,"9,750","120,369",28.13,"541,560",6.52,8.04,
198,LG상사,"25,000","2,700",+12.11%,"5,000","9,690","38,760",22.60,"3,078,897",6.81,2.49,
199,두산,"56,300","3,400",+6.43%,"5,000","9,303","16,524",5.97,"391,262",11.47,23.52,
200,후성,"9,960",150,+1.53%,500,"9,224","92,607",4.30,"7,736,471",-181.09,3.85,
